Date,deviceID,target,Change_Pts_per_day
136,2022-01-07,nm-mngd-20210927-1aaa32b5,Chicago,16
137,2022-01-07,nm-mngd-20210927-1aaa32b5,Seattle,2
138,2022-01-07,nm-mngd-20210927-4a1de38c,Atlanta,1
139,2022-01-07,nm-mngd-20210927-4a1de38c,Chicago,7
140,2022-01-07,nm-mngd-20210927-4a1de38c,Seattle,3
141,2022-01-07,nm-mngd-20210927-9044c591,Atlanta,3
142,2022-01-07,nm-mngd-20210927-9044c591,Chicago,11
143,2022-01-07,nm-mngd-20210927-9044c591,Seattle,3
144,2022-01-08,nm-mngd-20210518-221fcce5,Atlanta,1
145,2022-01-08,nm-mngd-20210518-221fcce5,Chicago,1
146,2022-01-08,nm-mngd-20210518-221fcce5,Seattle,1
147,2022-01-08,nm-mngd-20210518-f2242dfd,Atlanta,1
148,2022-01-08,nm-mngd-20210518-f2242dfd,Chicago,7
149,2022-01-08,nm-mngd-20210518-f2242dfd,Seattle,1
150,2022-01-08,nm-mngd-20210924-77f105f0,Atlanta,51
151,2022-01-08,nm-mngd-20210924-77f105f0,Chicago,49
152,2022-01-08,nm-mngd-20210924-77f105f0,Seattle,52
153,2022-01-08,nm-mngd-20210927-1aaa32b5,Atlanta,4
154,2022-01-08,nm-mngd-20210927-1aaa32b5,Chicago,14
155,2022-01-08,nm-mngd-20210927-1aaa32b5,Seattle,5
156,2022-01-08,nm-mngd-20210927-4a1de38c,Atlanta,2
157,2022-01-08,nm-mngd-20210927-4a1de38c,Chicago,8
158,2022-01-08,nm-mngd-20210927-4a1de38c,Seattle,2
159,2022-01-08,nm-mngd-20210927-9044c591,Atlanta,2
160,2022-01-08,nm-mngd-20210927-9044c591,Chicago,10
161,2022-01-08,nm-mngd-20210927-9044c591,Seattle,2
162,2022-01-09,nm-mngd-20210518-221fcce5,Atlanta,1
163,2022-01-09,nm-mngd-20210518-221fcce5,Chicago,3
164,2022-01-09,nm-mngd-20210518-221fcce5,Seattle,2
165,2022-01-09,nm-mngd-20210518-f2242dfd,Atlanta,1
166,2022-01-09,nm-mngd-20210518-f2242dfd,Chicago,5
167,2022-01-09,nm-mngd-20210518-f2242dfd,Seattle,1
168,2022-01-09,nm-mngd-20210924-77f105f0,Atlanta,54
169,2022-01-09,nm-mngd-20210924-77f105f0,Chicago,49
170,2022-01-09,nm-mngd-20210924-77f105f0,Seattle,49
171,2022-01-09,nm-mngd-20210927-1aaa32b5,Atlanta,7
172,2022-01-09,nm-mngd-20210927-1aaa32b5,Chicago,7
173,2022-01-09,nm-mngd-20210927-1aaa32b5,Seattle,2
174,2022-01-09,nm-mngd-20210927-4a1de38c,Atlanta,1
175,2022-01-09,nm-mngd-20210927-4a1de38c,Chicago,7
176,2022-01-09,nm-mngd-20210927-4a1de38c,Seattle,1
177,2022-01-09,nm-mngd-20210927-9044c591,Atlanta,2
178,2022-01-09,nm-mngd-20210927-9044c591,Chicago,11
179,2022-01-09,nm-mngd-20210927-9044c591,Seattle,1
180,2022-01-10,nm-mngd-20210518-221fcce5,Atlanta,1
181,2022-01-10,nm-mngd-20210518-221fcce5,Chicago,1
182,2022-01-10,nm-mngd-20210518-221fcce5,Seattle,1
183,2022-01-10,nm-mngd-20210518-f2242dfd,Atlanta,4
184,2022-01-10,nm-mngd-20210518-f2242dfd,Chicago,8
185,2022-01-10,nm-mngd-20210518-f2242dfd,Seattle,3
186,2022-01-10,nm-mngd-20210924-77f105f0,Atlanta,56
187,2022-01-10,nm-mngd-20210924-77f105f0,Chicago,53
188,2022-01-10,nm-mngd-20210924-77f105f0,Seattle,55
189,2022-01-10,nm-mngd-20210927-1aaa32b5,Atlanta,5
190,2022-01-10,nm-mngd-20210927-1aaa32b5,Chicago,7
191,2022-01-10,nm-mngd-20210927-1aaa32b5,Seattle,9
192,2022-01-10,nm-mngd-20210927-4a1de38c,Atlanta,1
193,2022-01-10,nm-mngd-20210927-4a1de38c,Chicago,13
194,2022-01-10,nm-mngd-20210927-4a1de38c,Seattle,1
195,2022-01-10,nm-mngd-20210927-9044c591,Atlanta,5
196,2022-01-10,nm-mngd-20210927-9044c591,Chicago,13
197,2022-01-10,nm-mngd-20210927-9044c591,Seattle,6
198,2022-01-11,nm-mngd-20210518-221fcce5,Atlanta,1
199,2022-01-11,nm-mngd-20210518-221fcce5,Chicago,3
200,2022-01-11,nm-mngd-20210518-221fcce5,Seattle,1
201,2022-01-11,nm-mngd-20210518-f2242dfd,Atlanta,1
202,2022-01-11,nm-mngd-20210518-f2242dfd,Chicago,14
203,2022-01-11,nm-mngd-20210518-f2242dfd,Seattle,3
204,2022-01-11,nm-mngd-20210924-77f105f0,Atlanta,5
205,2022-01-11,nm-mngd-20210924-77f105f0,Chicago,14
206,2022-01-11,nm-mngd-20210924-77f105f0,Seattle,5
207,2022-01-11,nm-mngd-20210927-1aaa32b5,Atlanta,10
208,2022-01-11,nm-mngd-20210927-1aaa32b5,Chicago,19
209,2022-01-11,nm-mngd-20210927-1aaa32b5,Seattle,9
210,2022-01-11,nm-mngd-20210927-4a1de38c,Atlanta,1
211,2022-01-11,nm-mngd-20210927-4a1de38c,Chicago,7
212,2022-01-11,nm-mngd-20210927-4a1de38c,Seattle,1
213,2022-01-11,nm-mngd-20210927-9044c591,Atlanta,7
214,2022-01-11,nm-mngd-20210927-9044c591,Chicago,16
215,2022-01-11,nm-mngd-20210927-9044c591,Seattle,2
216,2022-01-12,nm-mngd-20210518-221fcce5,Atlanta,1
217,2022-01-12,nm-mngd-20210518-221fcce5,Chicago,1
218,2022-01-12,nm-mngd-20210518-221fcce5,Seattle,1
219,2022-01-12,nm-mngd-20210518-f2242dfd,Atlanta,6
220,2022-01-12,nm-mngd-20210518-f2242dfd,Chicago,8
221,2022-01-12,nm-mngd-20210518-f2242dfd,Seattle,3
222,2022-01-12,nm-mngd-20210924-77f105f0,Atlanta,3
223,2022-01-12,nm-mngd-20210924-77f105f0,Chicago,3
224,2022-01-12,nm-mngd-20210924-77f105f0,Seattle,1
225,2022-01-12,nm-mngd-20210927-1aaa32b5,Atlanta,4
226,2022-01-12,nm-mngd-20210927-1aaa32b5,Chicago,13
227,2022-01-12,nm-mngd-20210927-1aaa32b5,Seattle,4
228,2022-01-12,nm-mngd-20210927-4a1de38c,Atlanta,1
229,2022-01-12,nm-mngd-20210927-4a1de38c,Chicago,9
230,2022-01-12,nm-mngd-20210927-4a1de38c,Seattle,1
231,2022-01-12,nm-mngd-20210927-9044c591,Atlanta,15
232,2022-01-12,nm-mngd-20210927-9044c591,Chicago,15
233,2022-01-12,nm-mngd-20210927-9044c591,Seattle,11
234,2022-01-13,nm-mngd-20210518-221fcce5,Atlanta,1
235,2022-01-13,nm-mngd-20210518-221fcce5,Chicago,1
236,2022-01-13,nm-mngd-20210518-221fcce5,Seattle,1
237,2022-01-13,nm-mngd-20210518-f2242dfd,Atlanta,1
238,2022-01-13,nm-mngd-20210518-f2242dfd,Chicago,8
239,2022-01-13,nm-mngd-20210518-f2242dfd,Seattle,1
240,2022-01-13,nm-mngd-20210924-77f105f0,Atlanta,2
241,2022-01-13,nm-mngd-20210924-77f105f0,Chicago,7
242,2022-01-13,nm-mngd-20210924-77f105f0,Seattle,1
243,2022-01-13,nm-mngd-20210927-1aaa32b5,Atlanta,9
244,2022-01-13,nm-mngd-20210927-1aaa32b5,Chicago,12
245,2022-01-13,nm-mngd-20210927-1aaa32b5,Seattle,2
