time,speedtest_ookla_download,speedtest_ookla_upload,speedtest_ndt7_download,speedtest_ookla_latency,speedtest_ndt7_downloadretrans,speedtest_ookla_jitter,speedtest_ookla_pktloss2,iperf_udp_download,speedtest_ndt7_minrtt,google_rtt_max_ms_under_ul,google_rtt_max_ms_under_dl,google_rtt_max_ms,dns_query_avg_ms,dns_query_max_ms,install
2021-07-01 01:55:35.331481+00:00,,,,,,,,,,,,8.327,24.5,51.0,Hyde Park
2021-07-01 02:00:28.351845+00:00,,,,,,,,,,,,8.231,20.0,47.0,Hyde Park
2021-07-01 02:05:27.551688+00:00,,,,,,,,,,,,12.605,23.0,63.0,Hyde Park
2021-07-01 02:10:27.698000+00:00,,,,,,,,,,,,9.778,21.5,63.0,Hyde Park
2021-07-01 02:13:58.947446+00:00,941.573736,41.71932,888.5351670854437,7.513,0.0,1.505,0.0,,4.467,19.127,13.816,,,,Hyde Park
2021-07-01 02:15:27.770606+00:00,,,,,,,,,,,,9.343,33.5,59.0,Hyde Park
2021-07-01 02:20:27.004394+00:00,,,,,,,,,,,,9.908,22.5,51.0,Hyde Park
2021-07-01 02:25:28.012511+00:00,,,,,,,,,,,,12.216,26.0,43.0,Hyde Park
2021-07-01 02:30:27.693633+00:00,,,,,,,,,,,,8.52,23.0,51.0,Hyde Park
2021-07-01 02:35:28.366319+00:00,,,,,,,,,,,,12.586,23.0,55.0,Hyde Park
2021-07-01 02:40:27.381042+00:00,,,,,,,,,,,,7.931,36.5,123.0,Hyde Park
2021-07-01 02:45:33.533612+00:00,,,,,,,,,,,,10.877,30.0,123.0,Hyde Park
2021-07-01 02:50:30.587381+00:00,,,,,,,,,,,,14.252,24.5,51.0,Hyde Park
2021-07-01 02:55:27.380394+00:00,,,,,,,,,,,,13.024,22.0,47.0,Hyde Park
2021-07-01 03:00:27.561955+00:00,,,,,,,,,,,,12.113,20.5,47.0,Hyde Park
2021-07-01 03:05:30.175481+00:00,,,,,,,,,,,,14.261,30.0,63.0,Hyde Park
2021-07-01 03:10:29.178605+00:00,,,,,,,,,,,,13.581,36.0,139.0,Hyde Park
2021-07-01 03:15:32.293800+00:00,,,,,,,,,,,,14.017,22.5,55.0,Hyde Park
2021-07-01 03:20:27.623054+00:00,,,,,,,,,,,,12.646,27.5,59.0,Hyde Park
2021-07-01 03:25:29.551307+00:00,,,,,,,,,,,,11.736,24.0,55.0,Hyde Park
2021-07-01 03:30:28.431847+00:00,,,,,,,,,,,,9.766,32.0,119.0,Hyde Park
2021-07-01 03:35:27.636815+00:00,,,,,,,,,,,,12.322,18.5,51.0,Hyde Park
2021-07-01 03:40:27.851067+00:00,,,,,,,,,,,,13.846,32.0,123.0,Hyde Park
2021-07-01 03:45:27.249956+00:00,,,,,,,,,,,,14.832,32.0,111.0,Hyde Park
2021-07-01 03:50:27.579432+00:00,,,,,,,,,,,,11.985,27.0,51.0,Hyde Park
2021-07-01 03:55:28.965610+00:00,,,,,,,,,,,,12.699,23.0,51.0,Hyde Park
2021-07-01 04:00:27.486912+00:00,,,,,,,,,,,,12.766,29.0,59.0,Hyde Park
2021-07-01 04:05:27.348113+00:00,,,,,,,,,,,,13.629,17.5,51.0,Hyde Park
2021-07-01 04:10:28.263863+00:00,,,,,,,,,,,,12.969,22.5,51.0,Hyde Park
2021-07-01 04:13:58.235505+00:00,939.30124,41.673128,918.7426122564527,7.874,0.0,1.287,0.0,,4.309,17.921,19.175,,,,Hyde Park
2021-07-01 04:15:31.935922+00:00,,,,,,,,,,,,17.81,24.0,47.0,Hyde Park
2021-07-01 04:20:29.402382+00:00,,,,,,,,,,,,12.169,18.5,35.0,Hyde Park
2021-07-01 04:25:27.958924+00:00,,,,,,,,,,,,11.27,29.0,63.0,Hyde Park
2021-07-01 04:30:27.891510+00:00,,,,,,,,,,,,16.419,18.5,31.0,Hyde Park
2021-07-01 04:35:27.505019+00:00,,,,,,,,,,,,12.364,25.0,55.0,Hyde Park
2021-07-01 04:40:28.109092+00:00,,,,,,,,,,,,11.999,25.0,59.0,Hyde Park
2021-07-01 04:45:27.021596+00:00,,,,,,,,,,,,12.821,18.5,51.0,Hyde Park
2021-07-01 04:50:30.020221+00:00,,,,,,,,,,,,8.243,30.0,63.0,Hyde Park
2021-07-01 04:55:27.584223+00:00,,,,,,,,,,,,11.39,29.0,55.0,Hyde Park
2021-07-01 05:00:35.131691+00:00,,,,,,,,,,,,12.168,29.5,79.0,Hyde Park
2021-07-01 05:05:28.223927+00:00,,,,,,,,,,,,8.158,22.0,51.0,Hyde Park
2021-07-01 05:10:27.900021+00:00,,,,,,,,,,,,8.247,22.0,47.0,Hyde Park
2021-07-01 05:15:28.057426+00:00,,,,,,,,,,,,9.31,27.0,51.0,Hyde Park
2021-07-01 05:20:27.676311+00:00,,,,,,,,,,,,8.61,22.0,51.0,Hyde Park
2021-07-01 05:25:28.813494+00:00,,,,,,,,,,,,12.653,23.0,59.0,Hyde Park
2021-07-01 05:30:29.480480+00:00,,,,,,,,,,,,13.769,29.5,55.0,Hyde Park
